retailer,product_name,ingredient_name,cleaned_ingredient_name,gold_ingredient_name,matched_cas_number,Banned_CA,Banned_TW,Banned_EU
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Leuconostoc/Radish Root Ferment Lysate Filtrate,leuconostoc,Leuconostoc,,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Glycereth-26,glycereth-26,Glycereth-26,31694-55-0,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Citrus Limon (Lemon) Peel Oil,citrus limon peel oil,Citrus Limon Peel Oil,8008-56-8,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Citrus Aurantifolia (Lime) Oil,citrus aurantifolia oil,Citrus Aurantifolia Oil,,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Fragrance,fragrance,Fragrance,,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Hexyl Cinnamal,hexyl cinnamal,Hexyl Cinnamal,101-86-0,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Geraniol,geraniol,Geraniol,106-24-1,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Alpha-Isomethyl Ionone,alpha-isomethyl ionone,Alpha-Isomethyl Ionone,127-51-5,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Linalool,linalool,Linalool,78-70-6,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate,phytosteryl,Phytosteryl,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Diisostearyl Malate,diisostearyl malate,Diisostearyl Malate,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Hydrogenated Polyisobutene,hydrogenated polyisobutene,Hydrogenated Polyisobutene,40921-86-6,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Polybutene,polybutene,Polybutene,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Hydrogenated Poly (C6-14 Olefin),hydrogenated poly,Hydrogenated Poly,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Butyrospermum Parkii (Shea) Butter,butyrospermum parkii butter,Butyrospermum Parkii Butter,194043-92-0,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Microcrystalline Wax/Cera Microcristallina/Cire microcristalline,microcrystalline wax,Microcrystalline Wax,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Octyldodecanol,octyldodecanol,Octyldodecanol,5333-42-6,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Synthetic Wax,synthetic wax,Synthetic Wax,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Disteardimonium Hectorite,disteardimonium hectorite,Disteardimonium Hectorite,97280-96-1,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Astrocaryum Murumuru Seed Butter,astrocaryum murumuru seed butter,Astrocaryum Murumuru Seed Butter,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Sodium Hyaluronate,sodium hyaluronate,Hydrolyzed Sodium Hyaluronate,,No,No,No
