retailer,product_name,ingredient_name,cleaned_ingredient_name,gold_ingredient_name,matched_cas_number,Banned_CA,Banned_TW,Banned_EU
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Sodium Hyaluronate,sodium hyaluronate,Hydrolyzed Sodium Hyaluronate,,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Ectoin,ectoin,Ectoin,96702-03-3,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Lactococcus Ferment,lactococcus ferment,Lactococcus Ferment,,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Aphanizomenon Flos-aquae Extract,aphanizomenon flos-aquae extract,Aphanizomenon Flos-Aquae Extract,,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Chondrus Crispus Extract,chondrus crispus extract,Chondrus Crispus,,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Allantoin,allantoin,Allantoin,97-59-6,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Oryza Sativa (Rice) Bran Wax,oryza sativa bran wax,Oryza Sativa Bran Wax,,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Tremella Fuciformis Polysaccharide,tremella fuciformis polysaccharide,Tremella Fuciformis Polysaccharide,778577-37-0,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Cetearyl Olivate,cetearyl olivate,Cetearyl Olivate,223706-40-9,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Sorbitan Olivate,sorbitan olivate,Cetearyl Olivate,,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Hydroxyacetophenone,hydroxyacetophenone,Hydroxyacetophenone,99-93-4,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Glyceryl Stearate,glyceryl stearate,Glyceryl Stearate,31566-31-1,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,hydroxyethyl acrylate,Hydroxyethyl Acrylate,,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Ethylhexyl Palmitate,ethylhexyl palmitate,Ethylhexyl Palmitate,29806-73-3,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,"1,2-Hexanediol","1,2-hexanediol","1,2-Hexanediol",6920-22-5,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Sodium Phytate,sodium phytate,Sodium Phytate,14306-25-3,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Tocopherol,tocopherol,Tocopherol,54-28-4,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Silica Dimethyl Silylate,silica dimethyl silylate,Silica Dimethyl Silylate,68611-44-9,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Caprylyl Glycol,caprylyl glycol,Caprylyl Glycol,1117-86-8,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Butylene Glycol,butylene glycol,Butylene Glycol,107-88-0,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Potassium Sorbate,potassium sorbate,Potassium Sorbate,24634-61-5,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Hexylene Glycol,hexylene glycol,Hexylene Glycol,107-41-5,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Sodium Benzoate,sodium benzoate,Sodium Benzoate,532-32-1,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Ethylhexylglycerin,ethylhexylglycerin,Ethylhexylglycerin,70445-33-9,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Phenoxyethanol,phenoxyethanol,Phenoxyethanol,122-99-6,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Alcohol,alcohol,Alcohol,64-17-5,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Water,water,Onsen-Sui,,No,No,No
Sephora,Touchland Power Mist Hydrating Hand Sanitizer,Aloe Barbadensis Leaf Juice,aloe barbadensis leaf juice,Aloe Barbadensis Leaf Extract,,No,No,No
