cleaned_name,cas_number,notes,region
"3,4-methylenedioxyaniline and its salts",14268-66-7,,Taiwan
hydroxypyridinone and its salts,822-89-9,,Taiwan
3-nitro-4-aminophenoxyethanol and its salts,50982-74-6,,Taiwan
2-methoxy-4-nitrophenol  and its salts,3251-56-7,,Taiwan
ci acid black 131 and its salts,12219-01-1,,Taiwan
"1,3,5-trihydroxybenzene  and its salts",108-73-6,,Taiwan
leptophos,21609-90-5,,Taiwan
"1,2,4-benzenetriacetate and its salts",613-03-6,,Taiwan
"ethanol, 2,2' -iminobis-, reaction products with epichlorohydrin and 2-nitro-1,4-benzenediamine  and its salts",68478-64-8/ 158571-58-5,,Taiwan
"n-methyl-1,4-diaminoanthraquinone, reaction products with epichlorohydrin and monoethanolamine  and its salts",158571-57-4,,Taiwan
4-aminobenzenesulfonic acid  and its salts,121-57-3/515-74-2,,Taiwan
"3,3'-imino) bis)benzenesulfonic acid and its salts",6373-79-1,,Taiwan
"3-phenyl)azo)-1,2--dimethyl-1h-1,2,4-triazolium and its salts",89959-98-8/12221-69-1,,Taiwan
"2,2'- azo)phenyl)imino)bisethanol  and its salts",23355-64-8,,Taiwan
"benzothiazolium, 2-[[4-[ethylamino]phenyl]azo]-6-methoxy-3-methyl- and its salts",12270-13-2,,Taiwan
2-[azo)-n--3-oxobutanamide  and its salts,13515-40-7,,Taiwan
"2,2'-[bis]bis[3-oxo-n-phenylbutanamide]  and its salts",6358-85-6,,Taiwan
"1,2,3,4,5,6-hexachlorocyclohexane )",58-89-9,,Taiwan
"2,2'-bis[5-azo]benzenesulfonic acid) and its salts",2870-32-8,,Taiwan
"2,3-dihydro-2,2-dimethyl-6-[-1-naphthelenyl)azo]-1h-pyrimidine  and its salts",4197-25-5,,Taiwan
3-[[4-[azo]-1-naphthyl]azo]salicylic acid and its salts,3442-21-5/34977-63-4,,Taiwan
"2-naphthalenesulfonic acid, 7--4-hydroxy-3-[[4-[azo]phenyl]azo]- and its salts",2610-11-9,,Taiwan
phenyl)azo)naphthalene-2-sulphonato))))dicuprate and its salts,37279-54-2,,Taiwan
3-[phenyl)azo]-4-hydroxy-7-[[[[5-hydroxy-6--7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-2-naphthalenesulfonic acid and its salts,3441-14-3,,Taiwan
"2-naphthalenesulfonic acid, 7,7'-bisazo]phenyl]azo]-, and its salts",2610-10-8/25188-41-4,,Taiwan
"ethanaminium, n-phenyl]methylene]-2,5-cyclohexadien-1-ylidine)-n-ethyl- and its salts",2390-59-2,,Taiwan
"3h-indolium, 2-[[methylhydrazono]methyl]-1,3,3-trimethyl- and its salts",54060-92-3,,Taiwan
"3h-indolium, 2-amino)ethenyl]-1,3,3-trimethyl- and its salts",4208-80-4,,Taiwan
"4,4'-methylene-bis",101-14-4,,Taiwan
nigrosine spirit soluble  and its salts,11099-03-9,,Taiwan
"phenoxazin-5-ium, 3,7-bis-, and its salts",47367-75-9/33203-82-6,,Taiwan
"benzo[a]phenoxazin -7-ium, 9--, and its salts",7057-57-0/966-62-1,,Taiwan
"6-amino-2--1h-benz[de]isoquinoline-1,3-dione  and its salts",2478-20-8,,Taiwan
1-amino-4-[[4-[methyl]phenyl]amino]anthraquinone and its salts,67905-56-0/12217-43-5,,Taiwan
laccaic acid  and its salts,60687-93-6,,Taiwan
"benzenesulfonic acid, 5 -[-, and its salts",6373-74-6/15347-52-1,,Taiwan
4-[azo]aniline  and its salts,730-40-5/70170-61-5,,Taiwan
4-nitro-m-phenylenediamine and its salts,5131-58-8,,Taiwan
"1-amino-4--9,10-anthracenedione  and its salt",1220-94-6,,Taiwan
methyl hydrazine,60-34-4,,Taiwan
n-methyl-3-nitro-p-phenylenediamine and its salts,2973-21-9,,Taiwan
n1--4-nitro-o-phenylenediamine  and its salts,56932-44-6,,Taiwan
"n1-)methyl-4-nitro-1,2-phenylenediamine  and its salts",56932-45-7,,Taiwan
2-nitro-n-hydroxyethyl-p-anisidine and its salts,57524-53-5,,Taiwan
"n,n'-dimethyl-n-hydroxyethyl-3-nitro-p-phenylenediamine and its salts",10228-03-2,,Taiwan
"3-amino)propane-1,2-diol and its salts",93633-79-5,,Taiwan
4-ethylamino-3-nitrobenzoic acid  and its salts,2788-74-1,,Taiwan
"azo]-7-hydroxy-2-naphthyl)trimethylammonium and its salts,",71134-97-9,,Taiwan
"5-phenyl)azo)-1,4-dimethyl-1h-1,2,4-triazolium and its salts",12221-52-2,,Taiwan
"m-phenylenediamine, 4--, and its salts",495-54-5,,Taiwan
methyl isocyanate,624-83-9,,Taiwan
"1,3 -benzenediamine, 4-methyl-6-- and its salts",4438-16-8,,Taiwan
"2,7 -naphthalenedisulfonic acid, 5--4-hydroxy-3-azo)- and its salts",6441-93-6,,Taiwan
"4,4'-[bis]bis[6-methyl-1,3-benzenediamine]  and its salts",4482-25-1,,Taiwan
"benzenaminium, 3-[[phenyl]azo]-2-methylphenyl]azo]-n,n,n-trimethyl- and its salts",83803-99-0,,Taiwan
"benzenaminium, 3-[[phenyl]azo]-1-naphthalenyl]azo]-n,n,n-trimethyl- and its salts",83803-98-9,,Taiwan
"ethanaminium, n-phenyl)phenylmethylene]-2,5-cyclohexadien-1-ylidine)-n-ethyl- and its salts",633-03-4,,Taiwan
"9,10-anthracenedione, 1-[amino]-4--, and its derivatives and salts",2475-46-9/86722-66-9,,Taiwan
"1,4 -diamino-2-methoxy-9,10-anthracenedione  and its salts",2872-48-2,,Taiwan
"1,4-dihydroxy-5,8-bis[amino]anthraquinone  and its salts",3179-90-6,,Taiwan
1-[amino]-4-anthraquinone and its salts,22366-99-0,,Taiwan
monofluoroacetamide,640-19-7,,Taiwan
"n-[6-[imino]-4-methoxy-3-oxo-1,4-cyclohexadien-1-yl]acetamide  and its salts",66612-11-1,,Taiwan
"[6-[[3-chloro-4-phenyl]imino]-4-methyl-3-oxocyclohexa-1,4-dien-1-yl]urea  and its salts",56330-88-2,,Taiwan
"phenothiazin-5-ium, 3,7-bis- and its salts",61-73-4,,Taiwan
"4,6-bis-m-phenylenediamine and its salts",94082-85-6,,Taiwan
"5-amino-2,6-dimethoxy-3-hydroxypyridine and its salts",104333-03-1,,Taiwan
4-diethylamino-o-toluidine and its salts,148-71-0/24828-38-4/2051-79-8,,Taiwan
"toluene-3,4-diamine and its salts",496-72-0,,Taiwan
2-nitro-p-phenylenediamine and its salts,5307-14-2/18266-52-9,,Taiwan
"phenazinium, 3,7-diamino-2,8-dimethyl-5-phenyl- and its salts",477-73-6,,Taiwan
3-hydroxy-4-[azo]-7-nitronaphthalene-1-sulphonic acid and its salts,16279-54-2/5610-64-0,,Taiwan
1-and 2-naphthylamines and their salts,91-59-8/134-32-7,,Taiwan
"3-[[4-[methylamino]-2-nitrophenyl]amino]-1,2-propanediol and its salts",173994-75-7/102767-27-1,,Taiwan
"3-[[4-[amino]-2-nitrophenyl]amino]-1,2-propanediol and its salts",114087-41-1/114087-42-2,,Taiwan
"ethanaminium, n-[4-[[4-phenyl][4--1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidine]-n-ethyl-, and its salts",2390-60-5,,Taiwan
", ), . , : .",,,Taiwan
alanroot oil,97676-35-2,,Taiwan
"rauwolfia serpentina l., alkaloids and their salts",90106-13-1,,Taiwan
yohimbine and its salts,146-48-5,,Taiwan
tripterygium wilfordii hook.f.,,,Taiwan
sulfallate,95-06-7,,Taiwan
tetracarbonylnickel,13463-39-3,,Taiwan
aminocaproic acidand its salts,60-32-2,,Taiwan
3- and 4- cyclohex-3-ene-1-carbaldehyde,51414-25-6/31906-04-4,,Taiwan
"2,6-dihydroxy-4-methyl-benzaldehyde",526-37-4,,Taiwan
"3-chloro-2,6-dihydroxy-4-methyl-benzaldehyde",57074-21-2,,Taiwan
perfluorooctane sulfonic acid; heptadecafluorooctane-1- sulfonic acid [1]potassium perfluorooctanesulfonate; potassium heptadecafluorooctane-1-sulfonate [2]diethanolamine perfluorooctane sulfonate [3]ammonium perfluorooctane sulfonate; ammonium heptadecafluorooctanesulfonate [4]lithium perfluorooctane sulfonate; lithium heptadecafluorooctanesulfonate [5],1763-23-1 [1]2795-39-3 [2] 70225-14-8 [3]29081-56-9 [4]29457-72-5 [5],,Taiwan
ammonium pentadecafluorooctanoate,3825-26-1,,Taiwan
perfluorooctanoic acid,335-67-1,,Taiwan
nonadecafluorodecanoic acid [1]ammonium nonadecafluorodecanoate [2]sodium nonadecafluorodecanoate [3],335-76-2 [1]3108-42-7 [2]3830-45-3 [3],,Taiwan
perfluorononan-1-oic acid [1]and its sodium [2]and ammonium [3] salts,375-95-1 [1]21049-39-8 [2]4149-60-4 [3],,Taiwan
vinyl chloride monomer,75-01-4,,Taiwan
4-nitrobiphenyl,92-93-3,,Taiwan
nitrofen,1836-75-5,,Taiwan
n-nitroso-n-methylurea,684-93-5,,Taiwan
pentachlorophenol and its alkali salts,87-86-5/131-52-2/7778- 73-6,,Taiwan
phosgene,75-44-5,,Taiwan
phosphine,7803-51-2,,Taiwan
phosphorus trichloride,7719-12-2,,Taiwan
phthalic anhydride,85-44-9,,Taiwan
