url,name,cas_number,ec_number
https://incidecoder.com/ingredients/citronellol,Citronellol,106-22-9,203-375-0
https://incidecoder.com/ingredients/citrullus-lanatus-fruit-extract,Citrullus Lanatus Fruit Extract,90244-99-8,290-802-9
https://incidecoder.com/ingredients/citrus-aurantium-amara-flower-oil,Citrus Aurantium Amara Flower Oil,68916-04-1,-
https://incidecoder.com/ingredients/citrus-aurantium-amara-flower-water,Citrus Aurantium Amara Flower Water,68916-04-1,-
https://incidecoder.com/ingredients/citrus-aurantium-bergamia-fruit-oil,Citrus Aurantium Bergamia Fruit Oil,8007-75-8,
https://incidecoder.com/ingredients/citrus-aurantium-bergamia-peel-oil,Citrus Aurantium Bergamia Peel Oil,89957-91-5,289-612-9
https://incidecoder.com/ingredients/citrus-aurantium-dulcis-fruit-extract,Citrus Aurantium Dulcis Fruit Extract,8028-48-6,232-433-8
https://incidecoder.com/ingredients/citrus-aurantium-dulcis-oil,Citrus Aurantium Dulcis Oil,8008-57-9,
https://incidecoder.com/ingredients/citrus-aurantium-dulcis-peel-oil,Citrus Aurantium Dulcis Peel Oil,8008-57-9,
https://incidecoder.com/ingredients/citrus-grandis-peel-oil,Citrus Grandis Peel Oil,90045-43-5,289-904-6
https://incidecoder.com/ingredients/citrus-limon-fruit-extract,Citrus Limon Fruit Extract,92346-89-9,296-174-2
https://incidecoder.com/ingredients/citrus-limon-peel-oil,Citrus Limon Peel Oil,8008-56-8,-
https://incidecoder.com/ingredients/citrus-nobilis-oil,Citrus Nobilis Oil,8008-31-9,-
https://incidecoder.com/ingredients/citrus-nobilis-peel-oil,Citrus Nobilis Peel Oil,8008-31-9,-
https://incidecoder.com/ingredients/citrus-paradisi-peel-oil,Citrus Paradisi Peel Oil,8016-20-4,
https://incidecoder.com/ingredients/citrus-reticulata-peel-oil,Citrus Reticulata Peel Oil,8008-31-9,-
https://incidecoder.com/ingredients/citrus-unshiu-extract,Citrus Unshiu Extract,98106-71-9,308-594-6
https://incidecoder.com/ingredients/citrus-unshiu-peel-extract,Citrus Unshiu Peel Extract,98106-71-9,308-594-6
https://incidecoder.com/ingredients/cocamide-dea,Cocamide DEA,68603-42-9,271-657-0
https://incidecoder.com/ingredients/cocamide-mea,Cocamide MEA,68140-00-1,268-770-2
https://incidecoder.com/ingredients/cocamidopropyl-betaine,Cocamidopropyl Betaine,61789-40-0,263-058-8
https://incidecoder.com/ingredients/cocamidopropyl-dimethylamine,Cocamidopropyl Dimethylamine,68140-01-2,268-771-8
https://incidecoder.com/ingredients/cocamidopropyl-hydroxysultaine,Cocamidopropyl Hydroxysultaine,68139-30-0,268-761-3
https://incidecoder.com/ingredients/cocamidopropylamine-oxide,Cocamidopropylamine Oxide,68155-09-9,268-938-5
https://incidecoder.com/ingredients/coceth-7,Coceth-7,61791-13-7,
https://incidecoder.com/ingredients/cochlearia-armoracia-root-extract,Cochlearia Armoracia Root Extract,84775-62-2,283-891-0
https://incidecoder.com/ingredients/coco-caprylate,Coco-Caprylate,,
https://incidecoder.com/ingredients/coco-caprylate-caprate,Coco-Caprylate/Caprate,,
https://incidecoder.com/ingredients/coco-glucoside,Coco-Glucoside,110615-47-9,
https://incidecoder.com/ingredients/coconut-alkanes,Coconut Alkanes,,
https://incidecoder.com/ingredients/cocos-nucifera-fruit-extract,Cocos Nucifera Fruit Extract,8001-31-8,232-282-8
https://incidecoder.com/ingredients/cocos-nucifera-fruit-juice,Cocos Nucifera Fruit Juice,8001-31-8,232-282-8
https://incidecoder.com/ingredients/cocos-nucifera-oil,Cocos Nucifera Oil,8001-31-8,232-282-8
https://incidecoder.com/ingredients/cocos-nucifera-shell-powder,Cocos Nucifera Shell Powder,8001-31-8,232-282-8
https://incidecoder.com/ingredients/cocos-nucifera-water,Cocos Nucifera Water,8001-31-8,232-282-8
https://incidecoder.com/ingredients/collagen,Collagen,9007-34-5,232-697-4
https://incidecoder.com/ingredients/collagen-amino-acids,Collagen Amino Acids,9015-54-7,295-635-5
https://incidecoder.com/ingredients/colloidal-oatmeal,Colloidal Oatmeal,,
https://incidecoder.com/ingredients/commiphora-myrrha-resin-extract,Commiphora Myrrha Resin Extract,84929-26-0,284-510-0
https://incidecoder.com/ingredients/copernicia-cerifera-wax,Copernicia Cerifera Wax,8015-86-9,232-399-4
https://incidecoder.com/ingredients/copper-chlorophyll,Copper Chlorophyll,,
